1182,18610,2,1.5,1974,0.11,1,2,1,0
1439,73500,3,2,1977,0.18,0,1,1,0
855,55667,2,1,1955,0.17,0,1,1,0
1848,115990,3,2,1959,0.20,0,1,1,0
2096,118343,3,2,1964,0.34,0,1,1,0
1165,70728,3,1,1958,0.24,0,1,1,0
2016,111469,3,2,1968,0.20,0,1,1,0
1144,67019,3,1,1958,0.31,0,1,1,0
2093,118914,3,2,1966,0.21,1,1,1,0
985,72576,3,1,1967,0.17,0,1,1,0
1011,46000,3,1,1972,0.13,0,1,1,0
2456,90834,4,2,1964,0.18,1,1,1,0
1483,101084,3,2,1973,0.19,0,1,1,0
1199,81465,3,2,1973,0.27,0,1,1,0
1393,74900,3,2,1973,0.18,1,1,1,0
1189,79750,3,2,1977,0.22,1,1,0,0
1275,81209,4,2,1967,0.22,0,1,1,0
1288,75564,3,2,1967,0.22,0,1,1,0
1440,58000,3,1,1946,0.16,1,1,1,0
1130,73000,3,1.5,1955,0.30,2,1,1,0
2288,123495,4,2,1969,0.31,2,2,1,0
1208,90000,3,2,1977,0.18,1,1,0,0
1542,139900,3,2,1966,0.20,0,1,1,0
1120,91141,3,2,1963,0.20,0,1,1,0
1417,81176,3,2,1973,0.31,0,1,1,0
1496,86838,3,2,1963,0.19,0,1,1,0
1000,80000,3,1,1958,0.18,0,1,2,0
1407,119900,3,2,1966,0.21,0,1,1,0
1120,71900,3,2,1974,0.20,0,1,1,0
1001,65500,3,1,1959,0.24,0,1,2,0
1496,118353,3,2,1966,0.24,0,1,1,0
2073,111900,4,2,1959,0.23,0,1,1,0
1210,71000,3,2,1964,0.19,0,1,1,0
1600,125000,3,2,1962,0.20,0,2,2,0
1333,83822,3,2,1972,0.28,0,1,1,0
1363,88478,3,2,1961,0.18,0,1,2,0
1113,57321,3,1,1973,0.15,0,1,1,0
1460,85076,3,1.5,1965,0.24,0,1,1,0
1136,110000,3,1.5,1972,0.25,1,2,1,0
1209,78500,3,2,1958,0.23,0,1,1,0
1627,86652,3,2,1964,0.19,0,1,1,0
1800,90345,3,2,1959,0.25,0,1,1,0
1384,89611,3,2,1966,0.22,0,1,1,0
1390,80750,4,2,1973,0.16,0,1,1,0
1812,89000,4,1.5,1967,0.20,1,1,1,0
1367,93136,3,2,1966,0.21,0,1,2,0
1016,55000,3,1,1956,0.28,0,1,1,0
