855,55667,2,1,1955,0.17,0,1,1
985,72576,3,1,1967,0.17,0,1,1
988,54000,3,1,1973,0.14,0,1,1
1000,80000,3,1,1958,0.18,0,1,2
1001,65500,3,1,1959,0.24,0,1,2
1040,72500,3,1.5,1964,0.17,0,1,1
1040,73652,3,1,1964,0.21,0,1,1
1040,89900,3,1,1963,0.41,0,1,1
1060,68213,2,1,1958,0.22,0,1,1
1080,92000,3,2,1958,0.24,0,1,2
1113,57321,3,1,1973,0.15,0,1,1
1120,71900,3,2,1974,0.20,0,1,1
1120,91141,3,2,1963,0.20,0,1,1
1130,73000,3,1.5,1955,0.30,2,1,1
1130,75007,3,1.5,1967,0.30,0,1,1
1136,110000,3,1.5,1972,0.25,1,2,1
1152,42558,2,1.5,1971,0.03,2,2,1
1165,70728,3,1,1958,0.24,0,1,1
1182,18610,2,1.5,1974,0.11,1,2,1
1189,79750,3,2,1977,0.22,1,1,0
1199,81465,3,2,1973,0.27,0,1,1
1208,90000,3,2,1977,0.18,1,1,0
1248,55023,3,1,1955,0.22,0,1,1
1260,59000,4,2,1958,0.17,0,1,1
1275,81209,4,2,1967,0.22,0,1,1
1288,75564,3,2,1967,0.22,0,1,1
1300,80000,3,2,1971,0.39,0,1,1
1363,88478,3,2,1961,0.18,0,1,2
1367,93136,3,2,1966,0.21,0,1,2
1384,89611,3,2,1966,0.22,0,1,1
1387,83943,3,2,1972,0.27,0,1,1
1390,80750,4,2,1973,0.16,0,1,1
1400,80000,2,1,1963,0.17,0,1,1
1400,64000,3,2,1963,0.19,1,1,1
1407,119900,3,2,1966,0.21,0,1,1
1417,81176,3,2,1973,0.31,0,1,1
1439,73500,3,2,1977,0.18,0,1,1
1440,58000,3,1,1946,0.16,1,1,1
1460,85076,3,1.5,1965,0.24,0,1,1
1496,86838,3,2,1963,0.19,0,1,1
1502,86217,3,3,1964,0.19,0,2,1
1510,77230,3,2,1963,0.25,0,1,1
1513,86764,2,2,1962,0.20,0,1,1
1542,139900,3,2,1966,0.20,0,1,1
1599,79000,3,1.5,1967,0.21,0,1,1
1600,125000,3,2,1962,0.20,0,2,2
1612,119275,3,2,1966,0.45,2,1,2
1637,102091,5,2,2012,0.18,0,1,1
1640,88612,4,2,1968,0.24,0,1,1
1674,82500,3,2,1959,0.23,0,1,0
1694,118000,3,2,1966,0.31,0,1,1
1757,135750,4,2,1965,0.19,2,2,1
1792,119000,3,2,1972,0.45,0,1,1
1812,89000,4,1.5,1967,0.20,1,1,1
1848,115990,3,2,1959,0.20,0,1,1
1900,93117,4,2,1966,0.37,2,1,1
1907,123526,4,2,1968,0.35,1,1,1
2073,111900,4,2,1959,0.23,0,1,1
2096,118343,3,2,1964,0.34,0,1,1
2389,144859,3,2,1969,0.26,1,1,1
1206,79181,3,2,1964,0.19,0,1,1
1181,75937,3,2,1975,0.16,2,1,1
1144,67019,3,1,1958,0.31,0,1,1
1800,90345,3,2,1959,0.25,0,1,1
2238,95741,3,1.5,1963,0.26,2,1,1
1318,88751,3,2,1984,0.23,0,1,0
1189,74468,3,2,1967,0.20,0,1,1
1333,83822,3,2,1972,0.28,0,1,1
2016,111469,3,2,1968,0.20,0,1,1
1303,69000,3,2,1960,0.37,0,1,1
1496,118353,3,2,1966,0.24,0,1,1
1011,46000,3,1,1972,0.13,0,1,1
2288,123495,4,2,1969,0.31,2,2,1
1483,101084,3,2,1973,0.19,0,1,1
1664,85639,4,2,1963,0.18,0,1,1
2093,118914,3,2,1966,0.21,1,1,1
1549,86702,3,2,1967,0.21,0,1,1
1194,92338,3,2,1962,0.32,0,1,1
2456,90834,4,2,1964,0.18,1,1,1
1627,86652,3,2,1964,0.19,0,1,1
1712,88308,3,1.5,1966,0.26,0,1,1
1210,71000,3,2,1964,0.19,0,1,1
1393,74900,3,2,1973,0.18,1,1,1
1209,78500,3,2,1958,0.23,0,1,1
1305,81780,3,2,1963,0.19,0,1,1
1016,55000,3,1,1956,0.28,0,1,1
